CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,ng_medio,ng_min,ng_max,n_pontos
1502152,Canaã dos Carajás,PA,3146.821,6.706721847142857,5.45389745,9.68045474,21.0
1502202,Capanema,PA,621.483,3.4466559133333328,2.61469415,4.12906734,3.0
1502301,Capitão Poço,PA,2901.026,6.270481728000001,5.48910234,7.84275991,15.0
1502400,Castanhal,PA,1029.3,8.080125308,6.6917011,9.74185206,5.0
1502509,Chaves,PA,12534.995,2.8831451466666667,0.97837124,9.11154385,69.0
1502608,Colares,PA,384.068,6.3030392,6.23206616,6.37401224,2.0
1502707,Conceição do Araguaia,PA,5829.482,11.793274588387096,10.36709076,13.76562923,31.0
1502756,Concórdia do Pará,PA,700.59,10.197450166666668,10.13276706,10.2527453,3.0
1502764,Cumaru do Norte,PA,17085.001,11.747237202365593,9.07605733,15.49601958,93.0
1502772,Curionópolis,PA,2369.096,6.308083102727273,5.60964385,7.71292431,11.0
1502806,Curralinho,PA,3617.252,8.66020985631579,6.92602479,11.10385852,19.0
1502855,Curuá,PA,1431.134,8.412628374,7.96470962,8.64092499,5.0
1502905,Curuçá,PA,676.322,3.177408976666667,2.49133624,3.9138951,3.0
1502939,Dom Eliseu,PA,5268.809,5.138320893214286,4.0040196,6.08420566,28.0
1502954,Eldorado do Carajás,PA,2956.691,6.361602525,5.46966924,7.36284696,16.0
1503002,Faro,PA,11771.669,5.4848953528125,3.80039457,7.93260277,64.0
1503044,Floresta do Araguaia,PA,3444.285,9.910603551764707,7.63603685,11.75669785,17.0
1503077,Garrafão do Norte,PA,1608.014,6.690073851111111,5.7268057,8.52742445,9.0
1503093,Goianésia do Pará,PA,7023.948,6.952313785142857,5.81862003,9.54301488,35.0
1503101,Gurupá,PA,8570.286,7.062115129583333,3.97726389,9.04507704,48.0
1503200,Igarapé-Açu,PA,785.983,6.4512517549999995,5.66681658,7.13725408,4.0
1503309,Igarapé-Miri,PA,1996.79,13.231667183636365,12.48051022,13.9940385,11.0
1503408,Inhangapi,PA,472.605,9.691016205,9.13323006,10.24880235,2.0
1503457,Ipixuna do Pará,PA,5215.555,6.826144316,5.55500587,9.1039396,25.0
1503507,Irituia,PA,1385.209,5.8739621025,4.63235633,7.00854503,8.0
1503606,Itaituba,PA,62042.472,9.26497660641791,5.57500225,12.40700243,335.0
1503705,Itupiranga,PA,7880.109,4.1306304395,2.35812097,7.03868041,40.0
1503754,Jacareacanga,PA,53304.563,11.927404138586207,8.94368698,14.85895204,290.0
1503804,Jacundá,PA,2008.315,8.035964304444445,6.9347556,8.50658316,9.0
1503903,Juruti,PA,8305.454,6.141140558,4.08485001,8.72034721,45.0
1504000,Limoeiro do Ajuru,PA,1490.186,9.753892125,7.566472,11.58067344,8.0
1504059,Mãe do Rio,PA,469.341,6.41752548,6.31008018,6.52497078,2.0
1504109,Magalhães Barata,PA,323.984,3.87615547,3.87615547,3.87615547,1.0
1504208,Marabá,PA,15128.058,4.9045147118750005,3.14868179,8.22325428,80.0
1504307,Maracanã,PA,807.628,3.68360824,3.17909881,4.45548701,3.0
1504406,Marapanim,PA,804.625,4.293215969999999,2.43106548,6.19967767,6.0
1504455,Medicilândia,PA,8272.629,3.7727480897674415,2.41275894,5.2688606,43.0
1504505,Melgaço,PA,6774.065,7.431864178888889,5.03988804,10.94135279,36.0
1504604,Mocajuba,PA,871.171,11.186895106666666,10.27978265,11.68516153,6.0
1504703,Moju,PA,9094.139,9.742202541777779,6.34641162,13.59439268,45.0
1504752,Mojuí dos Campos,PA,4988.236,4.390699965714286,3.11544839,6.06054798,28.0
1504802,Monte Alegre,PA,18152.559,3.0176277308421056,0.69335252,5.89522585,95.0
1504901,Muaná,PA,3763.337,10.37542471409091,7.74841083,12.6072478,22.0
1504950,Nova Esperança do Piriá,PA,2808.195,7.756036749230769,5.76989647,9.11238877,13.0
1504976,Nova Ipixuna,PA,1564.184,7.45177449625,6.46132035,7.88190774,8.0
1505007,Nova Timboteua,PA,489.853,5.953619016666667,4.968915,7.30454768,3.0
1505031,Novo Progresso,PA,38162.002,10.49600634046154,6.37964503,17.09122318,195.0
1505064,Novo Repartimento,PA,15398.723,4.4376575975294115,2.50091197,9.00677412,85.0
1505106,Óbidos,PA,28011.041,3.7082436842767295,0.59308901,9.0498649,159.0
1505205,Oeiras do Pará,PA,3852.291,8.662710601764706,6.64973688,11.30354061,17.0
1505304,Oriximiná,PA,107613.838,4.284355512912966,0.63448996,10.9976806,563.0
1505403,Ourém,PA,561.71,5.810921896666667,5.36884246,6.37316733,3.0
1505437,Ourilândia do Norte,PA,14410.567,12.133223327236841,7.28962081,14.98625289,76.0
1505486,Pacajá,PA,11832.323,4.896913551212121,3.3492088,6.72746926,66.0
1505494,Palestina do Pará,PA,984.362,5.659662946,5.23168424,5.97746446,5.0
1505502,Paragominas,PA,19342.565,5.814325680275229,2.81465788,9.01071707,109.0
1505536,Parauapebas,PA,6885.794,6.333150440857143,3.93924262,10.80532113,35.0
1505551,Pau D'Arco,PA,1671.419,10.47168446,10.14797557,10.85967746,8.0
1505601,Peixe-Boi,PA,450.224,4.671222520000001,4.36451759,4.97792745,2.0
1505635,Piçarra,PA,3312.708,7.924153600625,6.90743661,8.97945514,16.0
1505650,Placas,PA,7173.194,4.661278497692307,3.43905166,7.46423702,39.0
1505700,Ponta de Pedras,PA,3363.749,7.463867373125,5.47868169,10.71153532,16.0
1505809,Portel,PA,25384.96,6.249953417443609,4.75712243,9.37093342,133.0
1505908,Porto de Moz,PA,17423.017,4.185936766703297,2.42289795,5.66512674,91.0
1506005,Prainha,PA,14786.953,3.675493131948052,2.1989949,5.2840691,77.0
1506104,Primavera,PA,258.6,2.73298255,2.73298255,2.73298255,1.0
1506112,Quatipuru,PA,302.939,1.76231355,1.50672611,2.01790099,2.0
1506138,Redenção,PA,3823.809,10.7799876935,10.23387548,11.47308732,20.0
1506161,Rio Maria,PA,4114.627,8.870625111666667,4.90441966,10.89431907,24.0
1506187,Rondon do Pará,PA,8246.394,5.981889317555556,5.07312145,8.14355042,45.0
1506195,Rurópolis,PA,7021.321,7.348498596756757,5.37391196,9.85197293,37.0
1506203,Salinópolis,PA,226.12,2.939423975,2.8307113,3.04813665,2.0
1506302,Salvaterra,PA,918.563,3.2406838849999997,2.20321949,5.03622674,6.0
1506351,Santa Bárbara do Pará,PA,278.154,9.94237906,9.94237906,9.94237906,1.0
1506401,Santa Cruz do Arari,PA,1076.652,5.156092318000001,4.14202274,6.49370884,5.0
1506500,Santa Izabel do Pará,PA,717.662,10.61728012,10.0508101,11.05260022,3.0
1506559,Santa Luzia do Pará,PA,1346.502,5.575766695714286,3.96656161,6.46695313,7.0
1506583,Santa Maria das Barreiras,PA,10330.214,11.214430016909091,9.89816173,13.08913222,55.0
1506609,Santa Maria do Pará,PA,457.724,7.448934636666666,7.25103626,7.60505655,3.0
1506708,Santana do Araguaia,PA,11591.441,11.678623812131148,9.43261238,14.18527142,61.0
1506807,Santarém,PA,17898.389,5.837514072580644,3.06306352,9.35234524,93.0
1506906,Santarém Novo,PA,229.51,3.63211523,3.26781511,3.99641535,2.0
1507003,Santo Antônio do Tauá,PA,537.618,8.83483348,8.27225947,9.44810252,4.0
1507102,São Caetano de Odivelas,PA,464.166,4.445348,3.16079227,5.72990373,2.0
1507151,São Domingos do Araguaia,PA,1392.464,5.549855901428572,5.26491765,5.78200695,7.0
1507201,São Domingos do Capim,PA,1686.765,8.657569861999999,7.42649739,9.70157767,10.0
1507300,São Félix do Xingu,PA,84212.903,9.855581347918552,2.90393746,18.00683175,442.0
1507409,São Francisco do Pará,PA,479.441,7.18212857,6.44301381,7.9832978,3.0
1507458,São Geraldo do Araguaia,PA,3168.384,6.707174677647059,5.56880619,7.8534622,17.0
1507466,São João da Ponta,PA,195.918,4.15694961,4.15694961,4.15694961,1.0
1507474,São João de Pirabas,PA,668.434,2.25335124,2.05676718,2.41078747,3.0
1507508,São João do Araguaia,PA,1279.889,5.94390247,5.58457798,6.26727104,6.0
1507607,São Miguel do Guamá,PA,1094.564,7.869402966,6.87927271,9.01015379,5.0
1507706,São Sebastião da Boa Vista,PA,1632.251,11.88987792,9.25348994,14.27483264,8.0
1507755,Sapucaia,PA,1298.19,6.053394342,5.61809302,6.72268139,5.0
1507805,Senador José Porfírio,PA,14419.916,4.46094245962963,2.89210862,7.11922918,81.0
1507904,Soure,PA,2857.349,1.47795869,0.82713107,2.39360749,14.0
1507953,Tailândia,PA,4430.477,9.4934933525,6.56383697,10.92614428,24.0
1507961,Terra Alta,PA,204.97,5.15085383,5.15085383,5.15085383,1.0
1507979,Terra Santa,PA,1895.883,7.268654348888889,6.16419115,8.45194519,9.0
1508001,Tomé-Açu,PA,5145.361,9.490569669642856,6.8922281,12.11860404,28.0
1508035,Tracuateua,PA,868.025,2.796867675,1.2355077,5.35842181,6.0
1508050,Trairão,PA,11991.085,8.496587364915255,5.84199607,10.76842641,59.0
1508084,Tucumã,PA,2512.594,11.9633974475,9.22419947,14.2154068,12.0
1508100,Tucuruí,PA,2084.289,6.8625023836363646,4.60391079,8.08271639,11.0
1508126,Ulianópolis,PA,5088.468,3.9594736908333332,2.71354945,5.24238652,24.0
1508159,Uruará,PA,10791.406,3.977195909655172,2.82451524,6.12616988,58.0
1508209,Vigia,PA,401.589,6.180526213333333,4.43689883,7.66701714,3.0
1508308,Viseu,PA,4972.897,3.794434720967742,0.6282939,9.03212164,31.0
1508357,Vitória do Xingu,PA,3089.537,4.196059886,3.4342638,5.83805312,15.0
1508407,Xinguara,PA,3779.348,6.897054373636364,5.65132643,9.07605733,22.0
1600055,Serra do Navio,AP,7713.046,2.249139456590909,1.12538683,4.54730134,44.0
1600105,Amapá,AP,8454.847,0.9115431913043478,0.25484051,1.82188021,46.0
1600154,Pedra Branca do Amapari,AP,9622.29,3.332161016734694,1.50982414,5.2263331,49.0
1600204,Calçoene,AP,14117.297,0.9684879338157895,0.1754183,2.58174238,76.0
1600212,Cutias,AP,2179.114,1.0195929572727271,0.52859367,1.35661249,11.0
1600238,Ferreira Gomes,AP,4973.855,2.8903410879310343,1.4323734,3.83503617,29.0
1600253,Itaubal,AP,1622.867,1.8218450050000001,1.52813068,2.08915567,8.0
1600279,Laranjal do Jari,AP,30782.998,2.434377350308642,1.00512695,6.138562,162.0
1600303,Macapá,AP,6563.849,1.7572115484615385,0.42410558,3.22387942,39.0
1600402,Mazagão,AP,13294.778,4.391505961014493,2.52316145,6.41569482,69.0
1600501,Oiapoque,AP,23034.392,1.1287392403225807,0.2035822,2.84845456,124.0
1600535,Porto Grande,AP,4428.013,4.115075001818182,1.79906745,5.48121644,22.0
1600550,Pracuúba,AP,4948.508,2.1669819295833332,1.16397138,2.98026164,24.0
1600600,Santana,AP,1541.224,3.0384553100000002,2.52541457,3.43736182,8.0
1600709,Tartarugalzinho,AP,6684.705,2.0778275230555554,1.03019283,3.42187168,36.0
1600808,Vitória do Jari,AP,2508.979,5.190471058666666,4.57039574,6.50976227,15.0
1700251,Abreulândia,TO,1906.295,14.0594843725,11.99102154,16.39923602,8.0
1700301,Aguiarnópolis,TO,236.792,5.68962934,5.68962934,5.68962934,1.0
1700350,Aliança do Tocantins,TO,1580.999,10.2852746125,9.75677893,11.3424068,8.0
1700400,Almas,TO,4007.152,12.618780915,9.88182667,14.61110967,20.0
1700707,Alvorada,TO,1207.201,9.236591594,8.47391303,9.85788735,5.0
1701002,Ananás,TO,1581.058,5.829572658888889,5.06833359,6.84744749,9.0
1701051,Angico,TO,447.549,5.937659473333333,5.14043319,6.83252063,3.0
1701101,Aparecida do Rio Negro,TO,1159.034,9.552349205714284,8.15847729,11.55476265,7.0
1701309,Aragominas,TO,1168.213,9.433256122857143,8.42406292,10.211626,7.0
1701903,Araguacema,TO,2774.505,11.932158983571428,11.00134191,13.53186881,14.0
1702000,Araguaçu,TO,5155.223,9.175475918214286,8.1455219,10.53353944,28.0
1702109,Araguaína,TO,4004.646,9.059468792,7.59886049,10.4084917,20.0
1702158,Araguanã,TO,834.834,9.506176493999998,9.15914085,9.78691431,5.0
1702208,Araguatins,TO,2633.278,5.627708985,4.96497206,6.9708054,14.0
1702307,Arapoema,TO,1558.138,11.762080285555555,10.86559188,12.9404268,9.0
1702406,Arraias,TO,5803.085,6.662701076875,5.92845926,7.64138799,32.0
1702554,Augustinópolis,TO,388.81,5.58584535,5.4707958,5.7008949,2.0
1702703,Aurora do Tocantins,TO,696.194,8.920592575,8.73527408,9.10591107,2.0
1702901,Axixá do Tocantins,TO,153.539,6.2799448,6.2799448,6.2799448,1.0
1703008,Babaçulândia,TO,1790.297,8.150901201,7.24737495,10.14910213,10.0
1703057,Bandeirantes do Tocantins,TO,1540.541,9.85778173125,8.63726369,10.61324329,8.0
1703073,Barra do Ouro,TO,1105.84,6.657984881428571,5.74229585,7.15189931,7.0
1703107,Barrolândia,TO,697.759,13.933955503333335,13.75689842,14.09627348,3.0
1703206,Bernardo Sayão,TO,924.045,11.53673775,10.29752591,12.43629289,4.0
1703305,Bom Jesus do Tocantins,TO,1326.947,9.884142366666667,8.32999548,11.46773618,9.0
1703602,Brasilândia do Tocantins,TO,645.908,11.055979883333334,10.48594244,11.73923623,3.0
1703701,Brejinho de Nazaré,TO,1722.59,11.40314695888889,9.92238269,13.88617074,9.0
1703800,Buriti do Tocantins,TO,252.73,7.5909746,7.22568875,7.95626045,2.0
1703826,Cachoeirinha,TO,351.535,3.4331372399999998,2.11056024,4.75571424,2.0
1703842,Campos Lindos,TO,3234.445,8.9218599505,7.4726862,11.3719789,20.0
1703867,Cariri do Tocantins,TO,1126.291,11.734260608333335,11.12610801,12.30335926,6.0
1703883,Carmolândia,TO,339.366,8.699083455,8.35562463,9.04254228,2.0
1703891,Carrasco Bonito,TO,190.352,7.0376946799999995,6.80829967,7.26708969,2.0
1703909,Caseara,TO,1680.014,11.699869348888889,10.44116183,13.08096469,9.0
1704105,Centenário,TO,1953.134,11.492289986363637,9.47485823,12.92775304,11.0
